"","atax","atay","trx","try","ataturk","turkiye"
"159",0.193,0.175,0.0343,0.2448,0.184,0.13955
"160",0.1937,0.0978,0.0333,0.8958,0.14575,0.46455
"161",0.1926,0.0843,0.0333,0.8878,0.13845,0.46055
"162",0.1957,0.2888,0.0333,0.8798,0.24225,0.45655
"163",0.1922,0.112,0.0345,0.7273,0.1521,0.3809
"164",0.201,0.2677,0.0345,0.7072,0.23435,0.37085
"165",0.1912,0.9396,0.0346,0.6871,0.5654,0.36085
"166",0.1901,0.9209,0.035,0.5306,0.5555,0.2828
"167",0.1921,0.8427,0.0351,0.4965,0.5174,0.2658
"168",0.2,0.1635,0.0345,0.4384,0.18175,0.23645
"169",0.1933,0.822,0.0354,0.4052,0.50765,0.2203
"170",0.2018,0.3194,0.0355,0.3721,0.2606,0.2038
"171",0.203,0.3017,0.0356,0.324,0.25235,0.1798
"172",0.1996,0.8029,0.0353,0.98,0.50125,0.50765
"173",0.2102,0.0896,0.0361,0.671,0.1499,0.35355
"174",0.2001,0.859,0.0354,0.665,0.52955,0.3502
"175",0.2133,0.0261,0.0371,0.2998,0.1197,0.16845
"176",0.2109,0.2821,0.0373,0.2427,0.2465,0.14
"177",0.2047,0.1724,0.0374,0.7272,0.18855,0.3823
"178",0.214,0.0647,0.0375,0.7071,0.13935,0.3723
"179",0.2041,0.7871,0.0375,0.6931,0.4956,0.3653
"180",0.2163,0.2599,0.0376,0.679,0.2381,0.3583
"181",0.2062,0.9478,0.038,0.5285,0.577,0.28325
"182",0.2051,0.9296,0.038,0.5034,0.56735,0.2707
"183",0.2093,0.7717,0.0383,0.4011,0.4905,0.2197
"184",0.2091,0.8321,0.0384,0.372,0.5206,0.2052
"185",0.2096,0.8131,0.0385,0.3199,0.51135,0.1792
"186",0.2168,0.3263,0.0389,0.1694,0.27155,0.10415
"187",0.2166,0.3066,0.039,0.1603,0.2616,0.09965
"188",0.2182,0.2945,0.0382,0.9809,0.25635,0.50955
"189",0.2216,0.041,0.0397,0.5111,0.1313,0.2754
"190",0.2221,0.1018,0.0401,0.3017,0.16195,0.1709
"191",0.2139,0.7577,0.0402,0.2406,0.4858,0.1404
"192",0.2145,0.8626,0.0404,0.7241,0.53855,0.38225
"193",0.2157,0.8459,0.0407,0.7117,0.5308,0.3762
"194",0.2215,0.022,0.0405,0.696,0.12175,0.36825
"195",0.2187,0.742,0.0405,0.6789,0.48035,0.3597
"196",0.2262,0.2739,0.0409,0.5214,0.25005,0.28115
"197",0.2295,0.0788,0.0413,0.4,0.15415,0.22065
"198",0.2263,0.0594,0.0413,0.3729,0.14285,0.2071
"199",0.2193,0.7968,0.0415,0.3178,0.50805,0.17965
"200",0.2223,0.7282,0.0419,0.1743,0.47525,0.1081
"201",0.2318,0.2533,0.0419,0.1582,0.24255,0.10005
"202",0.221,0.9549,0.0412,0.9788,0.58795,0.51
"203",0.2205,0.937,0.043,0.3037,0.57875,0.17335
"204",0.2258,0.7796,0.0432,0.2374,0.5027,0.1403
"205",0.2242,0.8272,0.0426,0.719,0.5257,0.3808
"206",0.2248,0.8094,0.0426,0.713,0.5171,0.3778
"207",0.2317,0.3305,0.0434,0.6989,0.2811,0.37115
"208",0.2317,0.3102,0.0434,0.6788,0.27095,0.3611
"209",0.2319,0.2962,0.0442,0.3959,0.26405,0.22005
"210",0.2346,0.2836,0.0443,0.3799,0.2591,0.2121
"211",0.2263,0.7125,0.0444,0.3177,0.4694,0.18105
"212",0.2373,0.0954,0.0448,0.1752,0.16635,0.11
"213",0.2292,0.7632,0.0441,0.1532,0.4962,0.09865
"214",0.2312,0.6953,0.0449,0.1451,0.46325,0.095
"215",0.2294,0.8767,0.0449,0.1371,0.55305,0.091
"216",0.2292,0.857,0.0449,0.1291,0.5431,0.087
"217",0.2301,0.8436,0.045,0.121,0.53685,0.083
"218",0.2432,0.0765,0.045,0.114,0.15985,0.0795
"219",0.2349,0.7943,0.0441,0.9767,0.5146,0.5104
"220",0.2436,0.2664,0.0459,0.3046,0.255,0.17525
"221",0.2371,0.7383,0.0461,0.2343,0.4877,0.1402
"222",0.2385,0.7187,0.0466,0.0498,0.4786,0.0482
"223",0.2495,0.0831,0.0459,0.0407,0.1663,0.0433
"224",0.24,0.6808,0.0467,0.0347,0.4604,0.0407
"225",0.2458,0.2497,0.0463,0.7018,0.24775,0.37405
"226",0.2362,0.9621,0.0464,0.6767,0.59915,0.36155
"227",0.2351,0.9448,0.0464,0.3898,0.58995,0.2181
"228",0.2393,0.8232,0.0464,0.3838,0.53125,0.2151
"229",0.242,0.8047,0.0474,0.3156,0.52335,0.1815
"230",0.2467,0.3389,0.0478,0.1751,0.2928,0.11145
"231",0.2467,0.3184,0.0479,0.1079,0.28255,0.0779
"232",0.2469,0.3044,0.0481,0.0587,0.27565,0.0534
"233",0.2471,0.2904,0.047,0.9786,0.26875,0.5128
"234",0.2501,0.28,0.0481,0.3055,0.26505,0.1768
"235",0.2524,0.0983,0.0491,0.2302,0.17535,0.13965
"236",0.2436,0.7683,0.0491,0.2062,0.50595,0.12765
"237",0.2461,0.7495,0.0492,0.1951,0.4978,0.12215
"238",0.2468,0.7013,0.0484,0.1911,0.47405,0.11975
"239",0.2444,0.8818,0.0496,0.0366,0.5631,0.0431
"240",0.2442,0.8622,0.0492,0.7057,0.5532,0.37745
"241",0.2444,0.8482,0.0493,0.6776,0.5463,0.36345
"242",0.2461,0.8369,0.0506,0.2131,0.5415,0.13185
"243",0.2477,0.6658,0.0499,0.1851,0.45675,0.1175
"244",0.2552,0.2414,0.05,0.177,0.2483,0.1135
"245",0.2501,0.7896,0.0509,0.1078,0.51985,0.07935
"246",0.2528,0.6296,0.051,0.0657,0.4412,0.05835
"247",0.2526,0.7313,0.05,0.9846,0.49195,0.5173
"248",0.2537,0.7142,0.052,0.2231,0.48395,0.13755
"249",0.2578,0.084,0.0525,0.0415,0.1709,0.047
"250",0.2558,0.6536,0.0522,0.7076,0.4547,0.3799
"251",0.2609,0.2622,0.0523,0.6816,0.26155,0.36695
"252",0.2513,0.9683,0.0528,0.2151,0.6098,0.13395
"253",0.2501,0.9512,0.0538,0.1137,0.60065,0.08375
"254",0.2544,0.816,0.0539,0.0676,0.5352,0.06075
"255",0.2572,0.7975,0.0529,0.9875,0.52735,0.5202
"256",0.2619,0.347,0.0555,0.0425,0.30445,0.049
"257",0.2617,0.3274,0.0556,-0.0137,0.29455,0.02095
"258",0.2619,0.3134,0.0556,-0.0228,0.28765,0.0164
"259",0.2621,0.2994,0.0551,0.7126,0.28075,0.38385
"260",0.2623,0.2854,0.0552,0.6865,0.27385,0.37085
"261",0.2625,0.2762,0.0567,0.1106,0.26935,0.08365
"262",0.2597,0.613,0.056,0.1066,0.43635,0.0813
"263",0.2593,0.6797,0.0569,0.0645,0.4695,0.0607
"264",0.2686,0.0992,0.0558,0.9894,0.1839,0.5226
"265",0.2587,0.7642,0.0583,0.0985,0.51145,0.0784
"266",0.261,0.7457,0.0584,0.0404,0.50335,0.0494
"267",0.2617,0.593,0.0585,-0.0058,0.42735,0.02635
"268",0.2619,0.699,0.0586,-0.0259,0.48045,0.01635
"269",0.259,0.8942,0.058,0.7165,0.5766,0.38725
"270",0.2592,0.8742,0.0581,0.6864,0.5667,0.37225
"271",0.2594,0.8602,0.06,0.0898,0.5598,0.0749
"272",0.2596,0.8462,0.0598,0.0614,0.5529,0.0606
"273",0.2612,0.8335,0.0587,0.9973,0.54735,0.528
"274",0.2633,0.5777,0.0614,0.0393,0.4205,0.05035
"275",0.27,0.2384,0.0615,0.0021,0.2542,0.0318
"276",0.2656,0.7895,0.0615,-0.0239,0.52755,0.0188
"277",0.2685,0.6374,0.061,0.7204,0.45295,0.3907
"278",0.2678,0.7334,0.0611,0.6853,0.5006,0.3732
"279",0.2688,0.7151,0.0627,0.0874,0.49195,0.07505
"280",0.27,0.5626,0.0628,0.0583,0.4163,0.06055
"281",0.2703,0.6644,0.0617,0.9993,0.46735,0.5305
"282",0.2715,0.6489,0.0643,0.0382,0.4602,0.05125
"283",0.2769,0.2567,0.0644,0.0051,0.2668,0.03475
"284",0.2661,0.9733,0.0645,-0.021,0.6197,0.02175
"285",0.2656,0.9565,0.0639,0.7263,0.61105,0.3951
"286",0.2699,0.8201,0.064,0.6872,0.545,0.3756
"287",0.2723,0.8029,0.0656,0.0883,0.5376,0.07695
"288",0.2746,0.5499,0.0659,0.0649,0.41225,0.0654
"289",0.2767,0.3527,0.065,0.0582,0.3147,0.0616
"290",0.2767,0.3324,0.0646,0.9951,0.30455,0.52985
"291",0.277,0.3183,0.0672,0.0381,0.29765,0.05265
"292",0.2772,0.3043,0.0673,0.006,0.29075,0.03665
"293",0.2774,0.2903,0.0674,-0.0141,0.28385,0.02665
"294",0.2776,0.2763,0.0667,-0.0221,0.27695,0.0223
"295",0.2797,0.2674,0.0668,0.7323,0.27355,0.39955
"296",0.2742,0.6115,0.067,0.6801,0.44285,0.37355
"297",0.2711,0.9068,0.0678,0.0842,0.58895,0.076
"298",0.28,0.098,0.0679,0.0762,0.189,0.07205
"299",0.2739,0.7665,0.0679,0.0701,0.5202,0.069
"300",0.2764,0.7483,0.0676,0.992,0.51235,0.5298
"301",0.2764,0.6974,0.0684,0.672,0.4869,0.3702
"302",0.2776,0.6798,0.0702,0.039,0.4787,0.0546
"303",0.2745,0.8797,0.0703,0.0039,0.5771,0.0371
"304",0.2745,0.8594,0.0703,-0.0122,0.56695,0.02905
"305",0.2747,0.8454,0.0697,0.7382,0.56005,0.40395
"306",0.2776,0.8339,0.0705,0.996,0.55575,0.53325
"307",0.2795,0.5918,0.0714,0.6679,0.43565,0.36965
"308",0.286,0.2333,0.0731,0.0399,0.25965,0.0565
"309",0.2804,0.7867,0.0732,0.0018,0.53355,0.0375
"310",0.2838,0.6315,0.0733,-0.0133,0.45765,0.03
"311",0.2896,0.1245,0.0727,0.7441,0.20705,0.4084
"312",0.2826,0.7283,0.0734,0.9949,0.50545,0.53415
"313",0.2851,0.71,0.0744,0.6618,0.49755,0.3681
"314",0.2851,0.6592,0.076,0.0398,0.47215,0.0579
"315",0.2848,0.6442,0.0762,-3e-04,0.4645,0.03795
"316",0.2918,0.2534,0.0762,-0.0164,0.2726,0.0299
"317",0.2814,0.9785,0.0756,0.751,0.62995,0.4133
"318",0.2802,0.9621,0.0764,0.9888,0.62115,0.5326
"319",0.2851,0.8143,0.0757,0.9828,0.5497,0.52925
"320",0.2863,0.7969,0.0764,0.9747,0.5416,0.52555
"321",0.2881,0.5628,0.077,0.758,0.42545,0.4175
"322",0.2915,0.3636,0.0773,0.6627,0.32755,0.37
"323",0.2917,0.3438,0.079,0.0407,0.31775,0.05985
"324",0.2919,0.3297,0.0791,-4e-04,0.3108,0.03935
"325",0.2921,0.3157,0.0791,-0.0165,0.3039,0.0313
"326",0.2923,0.3017,0.0779,0.9696,0.297,0.52375
"327",0.2926,0.2877,0.0787,0.7667,0.29015,0.4227
"328",0.2928,0.2737,0.0802,0.6626,0.28325,0.3714
"329",0.2958,0.2618,0.0819,0.0406,0.2788,0.06125
