turk;turk2
574.69;453.2
571.55;456.44
568.4;459.68
565.26;462.92
562.12;466.16
558.98;469.41
555.84;472.65
552.69;475.89
549.55;479.13
546.41;482.37
543.27;485.61
540.13;488.85
536.98;492.1
533.84;495.34
530.7;498.58
524.42;505.06
521.27;508.3
518.13;511.54
514.99;514.78
511.85;518.03
494.04;536.4
799.86;220.91
786.77;234.42
783.11;238.2
717.65;305.73
713.98;309.51
699.06;324.91
695.48;328.59
693.04;331.11
527.29;502.1
508.44;521.55
795.67;225.24
504.76;525.34
501.01;529.21
497.87;532.45
490.71;539.83
804.3;216.33
791.74;229.3
779.17;242.27
775.42;246.14
772.27;249.38
769.13;252.62
765.99;255.86
762.85;259.1
759.7;262.34
756.56;265.58
753.42;268.82
750.28;272.07
747.14;275.31
743.99;278.55
740.85;281.79
737.71;285.03
734.57;288.27
731.43;291.51
728.28;294.76
725.14;298
722;301.24
709.78;313.85
705.94;317.8
702.45;321.4
595.62;431.6
591.44;435.93
588.29;439.17
584.45;443.14
582.01;445.65
578.86;448.9
575.72;452.14
572.58;455.38
569.43;458.62
566.29;461.86
563.15;465.11
560.01;468.35
556.87;471.59
553.72;474.83
550.58;478.07
547.44;481.31
544.3;484.55
541.16;487.8
538.01;491.04
534.87;494.28
531.73;497.52
522.3;507.24
519.16;510.48
516.02;513.73
512.88;516.97
494.02;536.42
487.74;542.9
807.44;213.1
800.37;220.39
787.8;233.36
784.14;237.14
781;240.38
718.68;304.67
715.01;308.45
712.92;310.6
528.32;501.04
524.74;504.73
509.47;520.49
485.12;545.61
796.17;224.72
505.79;524.28
502.04;528.15
498.9;531.39
495.76;534.63
490.45;540.1
481.97;548.86
811.36;209.06
791.98;229.05
776.79;244.72
772.61;249.04
769.46;252.28
766.32;255.52
763.18;258.76
760.04;262
756.89;265.24
753.75;268.49
750.61;271.73
747.47;274.97
744.33;278.21
741.18;281.45
738.04;284.69
734.9;287.93
731.76;291.18
728.62;294.42
725.47;297.66
722.86;300.36
577.28;450.53
573.61;454.32
570.47;457.56
566.97;461.17
563.83;464.41
560.69;467.65
557.55;470.89
554.41;474.13
551.26;477.37
548.12;480.61
544.98;483.86
541.84;487.1
538.69;490.34
535.55;493.58
532.41;496.82
520.45;509.16
516.7;513.03
513.56;516.27
134.76;907.03
131.62;910.27
128.48;913.51
125.34;916.75
122.37;919.82
