q1;q2
0.1107;0.7890
0.1129;-0.0085
0.1118;0.9495
0.1119;0.9034
0.1119;0.8973
0.1126;0.6566
0.1125;0.9575
0.1137;0.7910
0.1159;-0.0066
0.1149;0.8912
0.1155;0.6565
0.1166;0.7899
0.1188;-0.0077
0.1181;-0.0117
0.1189;-0.0258
0.1189;-0.0318
0.1178;0.8831
0.1185;0.6564
0.1196;-0.0178
0.1196;0.7868
0.1218;-0.0269
0.1208;0.8750
0.1214;0.6563
0.1225;0.7827
0.1247;-0.0259
0.1238;0.8669
0.1243;0.6562
0.1255;0.7785
0.1277;-0.0291
0.1267;0.8588
0.1273;0.6561
0.1292;-0.0351
0.1284;0.7764
0.1307;-0.0442
0.1297;0.8526
0.1302;0.6560
0.1314;0.7764
0.1336;-0.0453
0.1326;0.8475
0.1332;0.6569
0.1353;-0.0377
0.1343;0.7733
0.1356;0.8434
0.1361;0.6578
0.1380;-0.0314
0.1373;0.7691
0.1385;0.8403
0.1390;0.6577
0.1409;-0.0315
0.1402;0.7660
0.1415;0.8382
0.1420;0.6576
0.1439;-0.0366
0.1439;-0.0526
0.1439;-0.0617
0.1432;0.7629
0.1454;-0.0697
0.1444;0.8361
0.1449;0.6796
0.1449;0.6576
0.1468;-0.0447
0.1461;-0.0487
0.1472;-0.0868
0.1470;-0.0969
0.1461;0.7608
0.1465;0.6883
0.1463;0.6726
0.1476;-0.0748
0.1474;0.8330
0.1479;0.6545
0.1499;-0.1050
0.1490;0.7617
0.1492;0.6935
0.1493;0.6715
0.1503;0.8289
0.1508;0.6524
0.1529;-0.1121
0.1520;0.7657
0.1522;0.6985
0.1522;0.6714
0.1533;0.8218
0.1538;0.6513
0.1558;-0.1162
0.1548;0.8147
0.1551;0.7803
0.1542;0.7716
0.1551;0.6994
0.1552;0.6713
0.1565;0.7923
0.1567;0.6502
0.1588;-0.1203
0.1577;0.8116
0.1580;0.6993
0.1581;0.6682
0.1595;0.8042
0.1585;0.7976
0.1596;0.6561
0.1617;-0.1244
0.1610;0.7002
0.1603;0.6631
0.1625;0.7714
0.1623;0.7613
0.1647;-0.1285
0.1637;0.7834
0.1639;0.7011
0.1654;0.7920
0.1652;0.7532
0.1676;-0.1326
0.1668;0.7030
0.1680;0.8013
0.1682;0.7451
0.1706;-0.1337
0.1698;0.7009
0.1710;0.8052
0.1712;0.7370
0.1712;0.7310
0.1735;-0.1348
0.1727;0.7008
0.1750;-0.1409
0.1739;0.8051
0.1741;0.7289
0.1757;0.7017
0.1780;-0.1440
0.1769;0.8040
0.1771;0.7258
0.1786;0.7026
0.1809;-0.1451
0.1798;0.8019
0.1800;0.7247
0.1815;0.7045
0.1838;-0.1382
0.1827;0.7978
0.1829;0.7246
0.1845;0.7045
0.1868;-0.1352
0.1857;0.7947
0.1859;0.7245
0.1874;0.7044
0.1897;-0.1353
0.1886;0.7916
0.1888;0.7224
0.1904;0.7043
0.1926;-0.1374
0.1916;0.7895
0.1918;0.7193
0.1933;0.7042
0.1956;-0.1385
0.1945;0.7884
0.1947;0.7172
0.1962;0.7041
0.1985;-0.1326
0.1975;0.7883
0.1977;0.7161
0.1992;0.7040
0.2014;-0.1277
0.2004;0.7882
0.2006;0.7180
0.2021;0.7049
0.2044;-0.1238
0.2034;0.7881
0.2035;0.7199
0.2050;0.7078
0.2073;-0.1219
0.2063;0.7870
0.2065;0.7158
0.2102;-0.1219
0.2092;0.7849
0.2132;-0.1271
0.2122;0.7828
0.2147;-0.1361
0.2151;0.7807
0.2176;-0.1422
0.2183;0.7823
0.2208;-0.1367
0.2199;-0.1433
0.2195;0.7936
0.2234;-0.0933
0.2234;-0.1013
0.2234;-0.1093
0.2235;-0.1174
0.2227;-0.1254
0.2228;-0.1314
0.2224;0.7945
0.2248;-0.0833
0.2262;-0.0392
0.2255;-0.0492
0.2262;-0.0593
0.2254;0.7904
0.2277;-0.0693
0.2270;-0.0773
0.2291;-0.0313
0.2283;0.7853
0.2320;-0.0263
0.2313;0.7832
0.2350;-0.0254
0.2342;0.7821
0.2379;-0.0255
0.2372;0.7840
0.2408;-0.0266
0.2401;0.7849
0.2438;-0.0277
0.2430;0.7828
0.2467;-0.0298
0.2460;0.7807
0.2497;-0.0309
0.2489;0.7776
0.2526;-0.0320
0.2519;0.7755
0.2556;-0.0321
0.2548;0.7714
0.2585;-0.0322
0.2578;0.7693
0.2614;-0.0343
0.2607;0.7682
0.2644;-0.0344
0.2637;0.7682
0.2673;-0.0375
0.2666;0.7681
0.2703;-0.0426
0.2695;0.7710
0.2732;-0.0487
0.2725;0.7749
0.2762;-0.0568
0.2754;0.7798
0.2792;-0.0639
0.2783;0.7827
0.2797;0.8168
0.2797;0.8058
0.2798;0.7977
0.2790;0.7917
0.2821;-0.0680
0.2826;0.8207
0.2851;-0.0712
0.2856;0.8216
0.2880;-0.0743
0.2885;0.8205
0.2910;-0.0784
0.2915;0.8194
0.2939;-0.0855
0.2944;0.8224
0.2969;-0.0886
0.2973;0.8253
0.2998;-0.0897
0.3002;0.8332
0.3028;-0.0898
0.3032;0.8381
0.3057;-0.0939
0.3061;0.8400
0.3087;-0.1020
0.3102;-0.1111
0.3090;0.8420
0.3117;-0.1201
0.3131;-0.1282
0.3120;0.8439
0.3146;-0.1353
0.3149;0.8478
0.3176;-0.1424
0.3176;-0.1484
0.3178;0.8527
0.3206;-0.1545
0.3210;0.8593
0.3235;-0.1606
0.3250;-0.1657
0.3237;0.8646
0.3280;-0.1698
0.3266;0.8725
0.3309;-0.1739
0.3295;0.8774
0.3339;-0.1770
0.3324;0.8813
0.3368;-0.1801
0.3354;0.8832
0.3398;-0.1832
0.3383;0.8852
0.3427;-0.1913
0.3412;0.8861
0.3457;-0.1944
0.3442;0.8880
0.3486;-0.1945
0.3471;0.8889
0.3515;-0.1886
0.3501;0.8898
0.3545;-0.1857
0.3530;0.8917
0.3574;-0.1848
0.3559;0.8946
0.3603;-0.1839
0.3588;0.9056
0.3581;0.8976
0.3633;-0.1830
0.3618;0.9095
0.3662;-0.1801
0.3647;0.9094
0.3691;-0.1751
0.3676;0.9113
0.3721;-0.1752
0.3706;0.9122
0.3750;-0.1773
0.3735;0.9151
0.3780;-0.1784
0.3764;0.9231
0.3809;-0.1785
0.3793;0.9270
0.3838;-0.1766
0.3823;0.9279
0.3868;-0.1767
0.3852;0.9288
0.3897;-0.1768
0.3882;0.9277
0.3926;-0.1749
0.3911;0.9266
0.3956;-0.1730
0.3940;0.9265
0.3985;-0.1700
0.3970;0.9244
0.4014;-0.1661
0.3999;0.9233
0.4029;-0.1591
0.4043;-0.1411
0.4036;-0.1511
0.4029;0.9222
0.4072;-0.1392
0.4058;0.9201
0.4094;-0.1393
0.4102;-0.1493
0.4088;0.9200
0.4132;-0.1514
0.4117;0.9200
0.4161;-0.1515
0.4146;0.9199
0.4190;-0.1336
0.4183;-0.1436
0.4190;-0.1496
0.4176;0.9178
0.4219;-0.1256
0.4205;0.9177
0.4248;-0.1177
0.4235;0.9156
0.4279;-0.0957
0.4277;-0.1058
0.4270;-0.1118
0.4264;0.9155
0.4306;-0.0908
0.4294;0.9144
0.4336;-0.0869
0.4323;0.9133
0.4365;-0.0840
0.4352;0.9132
0.4394;-0.0780
0.4382;0.9131
0.4423;-0.0751
0.4411;0.9110
0.4440;-0.0675
0.4441;0.9109
0.4467;-0.0602
0.4460;-0.0662
0.4470;0.9108
0.4496;-0.0553
0.4499;0.9097
0.4526;-0.0544
0.4529;0.9106
0.4555;-0.0545
0.4558;0.9115
0.4585;-0.0566
0.4588;0.9155
0.4614;-0.0577
0.4617;0.9204
0.4644;-0.0598
0.4646;0.9243
0.4673;-0.0639
0.4675;0.9272
0.4703;-0.0690
0.4705;0.9281
0.4732;-0.0751
0.4734;0.9240
0.4762;-0.0832
0.4749;0.9149
0.4764;0.9059
0.4764;0.8978
0.4765;0.8898
0.4765;0.8828
0.4791;-0.0873
0.4780;0.8747
0.4821;-0.0934
0.4809;0.8676
0.4850;-0.0995
0.4839;0.8645
0.4880;-0.1016
0.4868;0.8634
0.4909;-0.0937
0.4902;-0.1017
0.4898;0.8623
0.4938;-0.0918
0.4927;0.8612
0.4968;-0.0949
0.4957;0.8581
0.4997;-0.0980
0.4986;0.8560
0.5028;-0.0660
0.5026;-0.0750
0.5027;-0.0981
0.5015;0.8549
0.5055;-0.0581
0.5048;-0.0641
0.5056;-0.0781
0.5056;-0.0932
0.5045;0.8548
0.5073;-0.0855
0.5087;-0.0495
0.5077;-0.0561
0.5074;0.8577
0.5114;-0.0472
0.5103;0.8627
0.5133;-0.1466
0.5131;-0.1566
0.5131;-0.1626
0.5143;-0.0483
0.5133;0.8666
0.5160;-0.1366
0.5161;-0.1667
0.5172;-0.0494
0.5162;0.8685
0.5189;-0.1337
0.5190;-0.1708
0.5202;-0.0425
0.5202;-0.0495
0.5206;-0.2030
0.5206;-0.2100
0.5191;0.8684
0.5216;-0.0325
0.5219;-0.1268
0.5219;-0.1328
0.5213;-0.1749
0.5220;-0.1830
0.5223;-0.1944
0.5233;-0.1168
0.5236;-0.2171
0.5221;0.8653
0.5245;-0.0306
0.5262;-0.1089
0.5265;-0.2253
0.5243;0.8602
0.5251;0.8522
0.5251;0.8441
0.5251;0.8361
0.5251;0.8281
0.5275;-0.0317
0.5266;0.8180
0.5290;-0.0668
0.5291;-0.1040
0.5295;-0.2294
0.5304;-0.0368
0.5305;-0.0769
0.5296;0.8099
0.5320;-0.0639
0.5320;-0.0860
